Stationsindex;Datum;VGSL;VPGB;VPGH;TS05;TS10;TS20;TS50;TS100;ZFUMI;BF10;BF20;BF30;BF40;BF50;BF60;BFGSL;BFGLS;TSLS05;TSSL05;ZTKMI;ZTUMI;VPGPM;VPMB;VPWB;VPZB;VGLS;VWLS;VWSL;BFWLS;BFWSL;eor
         2932;20210101;    0.1;    0.1;    0.1;    1.6;    1.9;    2.6;    4.3;    6.5;    0;   63;   57;   54;   53;   53;   55;   56;   71;    1.2;    1.6;    0;    0;    0.3;    0.1;    0.1;    0.1;    0.1;    0.1;    0.1;   91;   82;eor                                                            
         2932;20210102;    0.1;    0.2;    0.4;    0.7;    1.1;    2.1;    4.1;    6.4;    0;   62;   57;   54;   53;   53;   55;   55;   71;    0.4;    0.7;    0;    0;    0.3;    0.2;    0.2;    0.2;    0.1;    0.1;    0.1;   90;   82;eor                                                            
         2932;20210103;    0.0;    0.0;    0.0;    0.4;    0.9;    1.7;    3.9;    6.3;    0;   84;   60;   54;   53;   53;   55;   60;   78;    0.3;    0.4;    0;    0;    0.1;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;   98;   86;eor                                                            
         2932;20210104;    0.0;    0.0;    0.0;    0.5;    0.9;    1.6;    3.7;    6.2;    0;   82;   63;   55;   53;   53;   55;   60;   78;    0.2;    0.5;    0;    0;    0.2;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;   99;   86;eor                                                            
         2932;20210105;    0.0;    0.0;    0.0;    0.5;    0.8;    1.5;    3.6;    6.0;    0;   81;   64;   55;   53;   53;   55;   60;   79;    0.2;    0.5;    0;    0;    0.2;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;   99;   87;eor                                                            
         2932;20210106;    0.2;    0.2;    0.2;    0.7;    1.0;    1.6;    3.4;    5.9;    0;   79;   65;   56;   53;   53;   55;   60;   79;    0.3;    0.7;    0;    0;    0.3;    0.1;    0.2;    0.1;    0.2;    0.2;    0.2;   99;   87;eor                                                            
         2932;20210107;    0.3;    0.4;    0.3;    0.5;    0.8;    1.5;    3.4;    5.8;    0;   77;   65;   57;   53;   53;   55;   60;   78;    0.3;    0.5;    0;    0;    0.6;    0.4;    0.5;    0.4;    0.4;    0.5;    0.5;   98;   87;eor                                                            
         2932;20210108;    0.2;    0.2;    0.1;    0.6;    0.8;    1.5;    3.3;    5.7;    0;   77;   65;   57;   53;   53;   55;   60;   78;    0.4;    0.6;    0;    0;    0.2;    0.1;    0.2;    0.1;    0.2;    0.2;    0.2;   99;   87;eor                                                            
         2932;20210109;    0.1;    0.1;    0.1;    0.3;    0.6;    1.3;    3.2;    5.6;    0;   84;   66;   58;   54;   53;   55;   62;   81;    0.2;    0.3;    0;    0;    0.2;    0.1;    0.1;    0.1;    0.1;    0.1;    0.1;  102;   89;eor                                                            
         2932;20210110;    0.2;    0.2;    0.3;    0.2;    0.5;    1.2;    3.1;    5.5;    0;   81;   67;   58;   54;   53;   55;   61;   81;    0.2;    0.2;    0;    0;    0.0;    0.2;    0.2;    0.2;    0.2;    0.2;    0.2;  101;   89;eor                                                            
         2932;20210111;    0.3;    0.3;    0.4;    0.2;    0.5;    1.1;    3.0;    5.4;    2;   79;   67;   59;   54;   53;   55;   61;   80;    0.0;    0.2;    0;    1;    0.6;    0.3;    0.3;    0.3;    0.3;    0.3;    0.3;  101;   88;eor                                                            
         2932;20210112;    0.5;    0.5;    0.2;    0.2;    0.5;    1.1;    2.9;    5.3;    0;   83;   68;   59;   54;   54;   55;   62;   82;    0.0;    0.2;    0;    0;    0.4;    0.3;    0.4;    0.3;    0.5;    0.4;    0.4;  103;   90;eor                                                            
         2932;20210113;    0.3;    0.3;    0.2;    0.3;    0.5;    1.1;    2.8;    5.2;    0;   86;   69;   60;   55;   54;   55;   63;   83;    0.0;    0.2;    0;    0;    0.6;    0.4;    0.4;    0.4;    0.3;    0.4;    0.4;  104;   91;eor                                                            
         2932;20210114;    0.2;    0.2;    0.2;    0.5;    0.7;    1.2;    2.8;    5.1;    0;   83;   70;   60;   55;   54;   55;   63;   82;    0.0;    0.3;    0;    0;    0.4;    0.2;    0.3;    0.2;    0.2;    0.3;    0.3;  103;   90;eor                                                            
         2932;20210115;    0.0;    0.0;    0.1;    0.2;    0.5;    1.1;    2.8;    5.0;    0;   83;   70;   61;   55;   54;   55;   63;   83;    0.1;    0.2;    0;    0;    0.4;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;  104;   91;eor                                                            
         2932;20210116;    0.0;    0.0;    0.3;    0.1;    0.4;    1.0;    2.7;    5.0;    5;   82;   70;   61;   56;   54;   55;   63;   83;   -0.5;   -0.1;    0;    0;    0.5;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;  103;   91;eor                                                            
         2932;20210117;    0.0;    0.0;    0.4;   -0.5;    0.2;    0.9;    2.6;    4.9;   11;   81;   71;   62;   56;   54;   55;   63;   83;   -1.0;   -0.5;    0;    2;    0.1;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;  103;   91;eor                                                            
         2932;20210118;    0.6;    0.6;    0.3;   -0.2;    0.2;    0.8;    2.6;    4.8;   13;   81;   70;   62;   56;   54;   55;   63;   83;   -0.7;   -0.2;    0;    2;    0.3;    0.3;    0.4;    0.3;    0.6;    0.4;    0.4;  104;   91;eor                                                            
         2932;20210119;    0.8;    0.8;    0.2;    0.3;    0.2;    0.8;    2.5;    4.7;   11;   87;   71;   63;   57;   54;   55;   64;   84;    0.3;    0.2;    1;    8;    0.7;    0.5;    0.6;    0.5;    0.8;    0.6;    0.6;  106;   93;eor                                                            
         2932;20210120;    0.9;    1.0;    0.9;    3.1;    2.6;    2.0;    2.5;    4.7;    0;   83;   71;   63;   57;   55;   55;   64;   83;    2.9;    3.0;    0;    0;    1.4;    1.1;    1.2;    1.1;    0.9;    1.2;    1.2;  104;   92;eor                                                            
         2932;20210121;    1.2;    1.5;    0.7;    4.9;    4.4;    3.5;    3.0;    4.6;    0;   78;   69;   63;   57;   55;   55;   63;   82;    5.0;    4.9;    0;    0;    1.8;    1.6;    1.7;    1.6;    1.3;    1.3;    1.5;  102;   91;eor                                                            
         2932;20210122;    0.6;    0.7;    0.6;    4.8;    4.8;    4.5;    3.7;    4.7;    0;   76;   69;   63;   57;   55;   55;   63;   81;    4.7;    4.8;    0;    0;    1.0;    0.8;    0.8;    0.8;    0.6;    0.5;    0.6;  101;   91;eor                                                            
         2932;20210123;    0.2;    0.2;    0.1;    1.5;    2.1;    3.0;    4.0;    4.8;    0;  103;   78;   64;   57;   55;   56;   69;   91;    1.3;    1.5;    0;    0;    0.2;    0.1;    0.2;    0.1;    0.2;    0.2;    0.2;  111;   97;eor                                                            
         2932;20210124;    0.1;    0.1;    0.0;    0.4;    0.9;    1.9;    3.7;    4.9;    0;  102;   81;   66;   58;   55;   56;   70;   93;    0.2;    0.4;    0;    0;    0.2;    0.1;    0.1;    0.1;    0.1;    0.1;    0.1;  112;   98;eor                                                            
         2932;20210125;    0.2;    0.2;    0.2;    0.3;    0.7;    1.4;    3.3;    4.9;    0;   98;   82;   68;   59;   55;   56;   70;   92;    0.2;    0.3;    0;    0;    0.2;    0.2;    0.2;    0.2;    0.2;    0.2;    0.2;  109;   98;eor                                                            
         2932;20210126;    0.2;    0.2;    0.1;    0.1;    0.5;    1.2;    3.1;    4.9;    5;   95;   82;   69;   59;   56;   56;   69;   92;   -0.3;    0.1;    0;    2;    0.4;    0.2;    0.2;    0.2;    0.2;    0.2;    0.2;  107;   98;eor                                                            
         2932;20210127;    0.5;    0.6;    0.5;    0.1;    0.4;    1.1;    2.9;    4.8;    0;   92;   81;   69;   60;   56;   56;   69;   91;   -0.2;    0.1;    0;    0;    0.5;    0.5;    0.5;    0.5;    0.6;    0.5;    0.5;  105;   98;eor                                                            
